Arquivo,Linhas geradas,Linhas cód. final,Aproveitamento (%)
Models/Food.cs,46,19,66.81
Models/Ingredient.cs,51,23,83.46
Models/Measures.cs,7,13,51.47
Models/Nutrient.cs,57,22,80.86
Models/NutritionFacts.cs,70,29,77.70
Models/NutritionFactsNutrients.cs,61,26,87.72
Models/Preparation.cs,42,20,76.05
Models/PreparationStep.cs,46,20,82.81
Models/Recipe.cs,71,29,78.33
Models/Role.cs,48,15,48.88
Models/Token.cs,79,32,72.93
Models/User.cs,98,36,69.58
Controllers/FoodsController.cs,88,45,57.25
Controllers/RecipesController.cs,122,174,41.48
Controllers/UsersController.cs,100,173,32.93
Services/FoodService.cs,23,157,18.30
Services/NutrientService.cs,23,15,69.40
Services/RecipeService.cs,56,269,18.13
Services/TokenService.cs,45,136,25.35
Services/UserService.cs,23,185,15.18
Services/Interfaces/IFoodService.cs,15,10,56.10
Services/Interfaces/INutrientService.cs,15,9,58.15
Services/Interfaces/IRecipeService.cs,39,14,78.99
Services/Interfaces/ITokenService.cs,31,10,67.55
Services/Interfaces/IUserService.cs,15,15,49.90
Data/FoodRepository.cs,29,33,63.73
Data/IngredientRepository.cs,18,12,69.76
Data/NutritionFactsNutrientsRepository.cs,18,12,74.34
Data/NutritionFactsRepository.cs,18,12,71.34
Data/PreparationRepository.cs,18,12,70.17
Data/PreparationStepRepository.cs,18,12,71.70
Data/RecipeRepository.cs,29,58,42.56
Data/RoleRepository.cs,18,12,67.04
Data/UserRepository.cs,29,47,54.07
Data/Interfaces/IFoodRepository.cs,23,10,54.80
Data/Interfaces/IIngredientRepository.cs,15,9,64.54
Data/Interfaces/INutritionFactsNutrientsRepository.cs,15,9,69.59
Data/Interfaces/INutritionFactsRepository.cs,15,9,66.26
Data/Interfaces/IPreparationRepository.cs,15,9,64.98
Data/Interfaces/IPreparationStepRepository.cs,15,9,66.67
Data/Interfaces/IRecipeRepository.cs,23,11,70.41
Data/Interfaces/IRoleRepository.cs,15,9,61.59
Data/Interfaces/IUserRepository.cs,23,12,66.67
